"\"Nov. 9, 2020\"","\"Nov. 5, 2020\"",Run,558,3.77041,2617,11.5682,9.04634,5.18665,6.63252,,6736,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4878404047
"\"Nov. 9, 2020\"","\"Nov. 3, 2020\"",Run,495,3.41075,2414,11.796,8.56672,5.08645,7.00385,,6205,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4878402982
"\"Nov. 9, 2020\"","\"Nov. 2, 2020\"",Indoor Run / Jog,694,3.35321,3238,16.094,7.76757,3.72809,7.72442,,7245,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4878401161
"\"Nov. 2, 2020\"","\"Oct. 30, 2020\"",Run,377,2.69826,2002,12.366,9.73237,4.85202,6.165,,5130,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4813812394
"\"Oct. 30, 2020\"","\"Oct. 29, 2020\"",Indoor Run / Jog,1195,3.7873,5575,24.5338,8.86004,2.44561,6.77198,,8183,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4802427046
"\"Oct. 30, 2020\"","\"Oct. 29, 2020\"",Indoor Run / Jog,1195,3.7873,5575,24.5338,8.86004,2.44561,6.77198,,8183,b'',,http://www.mapmyrun.com/workout/4802427043
"\"Oct. 29, 2020\"","\"Oct. 28, 2020\"",Run,426,3.16962,2506,13.1772,10.137,4.55333,5.91893,,6395,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4800055825
"\"Oct. 29, 2020\"","\"Oct. 26, 2020\"",Indoor Run / Jog,568,3.34986,2651,13.1896,7.57896,4.54904,7.91666,,7238,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4800055393
"\"Oct. 26, 2020\"","\"Oct. 25, 2020\"",Indoor Run / Jog,17915,0.0200082,83588,69628.3,21.3911,0.000861719,2.80491,,43,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4792888480
"\"Oct. 25, 2020\"","\"Oct. 23, 2020\"",Indoor Run / Jog,32767,2.4751,174432,1174.58,8.59391,0.0510822,6.98169,,5348,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4790642815
"\"Oct. 22, 2020\"","\"Oct. 22, 2020\"",Indoor Run / Jog,404,2.2982,1887,13.6846,8.74718,4.38449,6.85936,,4966,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4783562821
"\"Oct. 22, 2020\"","\"Oct. 21, 2020\"",Indoor Run / Jog,407,2.47791,1900,12.7796,7.71521,4.69498,7.77685,,5354,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4783485709
"\"Oct. 21, 2020\"","\"Oct. 20, 2020\"",Indoor Run / Jog,193,2.0,900,7.5,0,8.0,0,,4322,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4780353538
"\"Oct. 21, 2020\"","\"Oct. 20, 2020\"",Indoor Run / Jog,1,0,4,0,0,0,0,,,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4780353193
"\"Oct. 21, 2020\"","\"Oct. 19, 2020\"",Indoor Run / Jog,888,3.08362,4143,22.3925,8.90601,2.67947,6.73702,,6663,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4780352662
"\"Oct. 19, 2020\"","\"Oct. 13, 2020\"",Indoor Run / Jog,599,2.31175,2796,20.1579,7.7588,2.9765,7.73316,,4995,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4774663465
"\"Oct. 13, 2020\"","\"Oct. 1, 2020\"",Indoor Run / Jog,12259,2.91889,57197,326.592,7.68929,0.183716,7.80306,,6307,b'',Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/4758960961
